Team Id,Name,Factory,Location,Operator Experience (years),Operator Training Level,Absenteeism Rate (%)
Location D_Factory 4_Member_2,Member_2_0,Factory 4,Location D,8.9,4.4,1.85
Location D_Factory 4_Member_2,Member_2_1,Factory 4,Location D,6.6,2.9,4.8
Location D_Factory 4_Member_2,Member_2_2,Factory 4,Location D,4.3,1.6,4.0
Location D_Factory 4_Member_2,Member_2_3,Factory 4,Location D,2.8,1.2,0.1
Location E_Factory 5_Member_4,Member_4_0,Factory 5,Location E,6.0,3.4,1.37
Location E_Factory 5_Member_4,Member_4_1,Factory 5,Location E,7.5,3.1,3.1
Location E_Factory 5_Member_4,Member_4_2,Factory 5,Location E,1.8,1.4,2.6
Location E_Factory 5_Member_4,Member_4_3,Factory 5,Location E,0.0,1.6,0.5
Location E_Factory 5_Member_5,Member_5_0,Factory 5,Location E,6.6,3.3,1.69
Location E_Factory 5_Member_5,Member_5_1,Factory 5,Location E,5.6,3.5,1.1
Location E_Factory 5_Member_5,Member_5_2,Factory 5,Location E,1.8,1.4,2.2
Location E_Factory 5_Member_5,Member_5_3,Factory 5,Location E,4.8,2.0,5.1
Location E_Factory 5_Member_6,Member_6_0,Factory 5,Location E,9.7,4.0,1.07
Location E_Factory 5_Member_6,Member_6_1,Factory 5,Location E,4.6,3.8,3.6
Location E_Factory 5_Member_6,Member_6_2,Factory 5,Location E,5.6,2.6,2.2
Location E_Factory 5_Member_6,Member_6_3,Factory 5,Location E,3.9,1.3,2.9
Location E_Factory 5_Member_7,Member_7_0,Factory 5,Location E,9.2,4.4,1.63
Location E_Factory 5_Member_7,Member_7_1,Factory 5,Location E,6.3,2.3,2.6
Location E_Factory 5_Member_7,Member_7_2,Factory 5,Location E,5.9,2.1,6.3
Location E_Factory 5_Member_7,Member_7_3,Factory 5,Location E,1.7,1.6,6.1
Location E_Factory 5_Member_8,Member_8_0,Factory 5,Location E,5.9,4.6,2.35
Location E_Factory 5_Member_8,Member_8_1,Factory 5,Location E,4.6,2.1,4.7
Location E_Factory 5_Member_8,Member_8_2,Factory 5,Location E,5.3,1.4,4.4
Location E_Factory 5_Member_8,Member_8_3,Factory 5,Location E,4.3,1.6,1.9
Location E_Factory 5_Member_9,Member_9_0,Factory 5,Location E,8.3,3.5,1.58
Location E_Factory 5_Member_9,Member_9_1,Factory 5,Location E,3.9,2.2,4.3
Location E_Factory 5_Member_9,Member_9_2,Factory 5,Location E,2.1,2.9,4.6
Location E_Factory 5_Member_9,Member_9_3,Factory 5,Location E,4.1,1.0,5.5
Location E_Factory 5_Member_10,Member_10_0,Factory 5,Location E,9.9,3.6,0.88
Location E_Factory 5_Member_10,Member_10_1,Factory 5,Location E,7.9,3.8,3.3
Location E_Factory 5_Member_10,Member_10_2,Factory 5,Location E,5.7,2.1,2.2
Location E_Factory 5_Member_10,Member_10_3,Factory 5,Location E,1.1,1.8,1.9
Location E_Factory 5_Member_11,Member_11_0,Factory 5,Location E,6.6,3.4,2.46
Location E_Factory 5_Member_11,Member_11_1,Factory 5,Location E,7.9,3.6,2.5
Location E_Factory 5_Member_11,Member_11_2,Factory 5,Location E,3.4,2.0,6.2
Location E_Factory 5_Member_11,Member_11_3,Factory 5,Location E,2.6,1.0,6.0
Location E_Factory 5_Member_12,Member_12_0,Factory 5,Location E,9.8,3.3,0.63
Location E_Factory 5_Member_12,Member_12_1,Factory 5,Location E,8.0,3.0,1.5
Location E_Factory 5_Member_12,Member_12_2,Factory 5,Location E,3.7,2.3,2.5
Location E_Factory 5_Member_12,Member_12_3,Factory 5,Location E,2.6,1.5,8.2
Location E_Factory 5_Member_13,Member_13_0,Factory 5,Location E,5.3,4.1,2.31
Location E_Factory 5_Member_13,Member_13_1,Factory 5,Location E,5.7,3.2,4.7
Location E_Factory 5_Member_13,Member_13_2,Factory 5,Location E,2.0,3.0,4.6
Location E_Factory 5_Member_13,Member_13_3,Factory 5,Location E,1.6,2.0,8.2
Location E_Factory 5_Member_14,Member_14_0,Factory 5,Location E,5.2,4.1,0.29
Location E_Factory 5_Member_14,Member_14_1,Factory 5,Location E,4.0,2.2,4.0
Location E_Factory 5_Member_14,Member_14_2,Factory 5,Location E,2.4,2.9,3.9
Location E_Factory 5_Member_14,Member_14_3,Factory 5,Location E,4.0,1.1,2.7
Location E_Factory 5_Member_15,Member_15_0,Factory 5,Location E,7.6,3.4,2.5
Location E_Factory 5_Member_15,Member_15_1,Factory 5,Location E,7.8,3.7,4.3
Location E_Factory 5_Member_15,Member_15_2,Factory 5,Location E,5.8,1.4,0.7
Location E_Factory 5_Member_15,Member_15_3,Factory 5,Location E,1.1,1.2,1.2
Location E_Factory 5_Member_16,Member_16_0,Factory 5,Location E,5.8,4.4,0.65
Location E_Factory 5_Member_16,Member_16_1,Factory 5,Location E,6.1,2.6,0.1
Location E_Factory 5_Member_16,Member_16_2,Factory 5,Location E,3.1,2.3,4.4
Location E_Factory 5_Member_16,Member_16_3,Factory 5,Location E,4.7,1.3,6.5
Location E_Factory 5_Member_17,Member_17_0,Factory 5,Location E,6.9,3.4,1.5
Location E_Factory 5_Member_17,Member_17_1,Factory 5,Location E,7.5,2.5,4.6
Location E_Factory 5_Member_17,Member_17_2,Factory 5,Location E,1.7,2.4,6.6
Location E_Factory 5_Member_17,Member_17_3,Factory 5,Location E,4.2,1.2,4.2
Location E_Factory 5_Member_18,Member_18_0,Factory 5,Location E,8.7,4.0,1.02
Location E_Factory 5_Member_18,Member_18_1,Factory 5,Location E,3.4,3.3,4.5
Location E_Factory 5_Member_18,Member_18_2,Factory 5,Location E,1.0,2.1,2.4
Location E_Factory 5_Member_18,Member_18_3,Factory 5,Location E,4.1,1.8,2.3
Location E_Factory 5_Member_19,Member_19_0,Factory 5,Location E,8.0,4.9,0.39
Location E_Factory 5_Member_19,Member_19_1,Factory 5,Location E,4.4,3.3,2.2
Location E_Factory 5_Member_19,Member_19_2,Factory 5,Location E,4.6,1.9,3.0
Location E_Factory 5_Member_19,Member_19_3,Factory 5,Location E,3.6,1.7,3.6
Location E_Factory 5_Member_0,Member_0_0,Factory 5,Location E,10.0,3.6,0.45
Location E_Factory 5_Member_0,Member_0_1,Factory 5,Location E,3.6,2.7,3.6
Location E_Factory 5_Member_0,Member_0_2,Factory 5,Location E,4.4,1.6,3.6
Location E_Factory 5_Member_0,Member_0_3,Factory 5,Location E,2.9,1.3,3.3
Location E_Factory 5_Member_1,Member_1_0,Factory 5,Location E,8.2,4.4,1.52
Location E_Factory 5_Member_1,Member_1_1,Factory 5,Location E,4.6,2.2,1.3
Location E_Factory 5_Member_1,Member_1_2,Factory 5,Location E,3.4,1.7,6.1
Location E_Factory 5_Member_1,Member_1_3,Factory 5,Location E,2.6,1.7,3.8
Location E_Factory 5_Member_2,Member_2_0,Factory 5,Location E,8.9,4.4,1.85
Location E_Factory 5_Member_2,Member_2_1,Factory 5,Location E,6.6,2.9,4.8
Location E_Factory 5_Member_2,Member_2_2,Factory 5,Location E,4.3,1.6,4.0
Location E_Factory 5_Member_2,Member_2_3,Factory 5,Location E,2.8,1.2,0.1
Location E_Factory 5_Member_3,Member_3_0,Factory 5,Location E,6.2,3.4,1.99
Location E_Factory 5_Member_3,Member_3_1,Factory 5,Location E,3.5,3.8,1.2
Location E_Factory 5_Member_3,Member_3_2,Factory 5,Location E,2.6,2.6,1.7
Location E_Factory 5_Member_3,Member_3_3,Factory 5,Location E,3.5,1.5,3.3
